feature,density,fire_count,mean_activation_when_active,dead
337,0.0021335847324646007,344,0.9214557894440585,False
338,0.00035353002834442507,57,7.088917916281181,False
339,0.005575850797923477,899,0.8919463751711225,False
340,0.0019909322648870255,321,3.2710361124199125,False
341,0.00014885474877660004,24,16.116166452566784,False
342,0.0028468470703524756,459,2.01723117246607,False
343,0.0018544820785084755,299,1.5780657426170681,False
344,0.006729475100942127,1085,0.8151417454266878,False
345,0.004657913180467776,751,0.9822531222662183,False
346,0.0003907437155385751,63,1.4070018132527669,False
347,0.009272410392542377,1495,1.08273299450061,False
348,0.010159336604002952,1638,1.1969294379191229,False
349,0.0020591573580763006,332,2.044258438320045,False
350,0.003504288877449126,565,0.9868634316773541,False
351,0.0012838722081981752,207,1.0734673957317924,False
352,0.0028964653199446758,467,2.066151522211651,False
353,0.00039694599673760006,64,1.316003317013383,False
354,2.4809124796100004e-05,4,0.8322909474372864,False
355,0.0005458007455142001,88,1.1715255907990716,False
356,0.0011474220218196253,185,6.522247500032992,False
357,0.0017056273297318754,275,1.0528104244578969,False
358,6.822509318927501e-05,11,1.0494013049385764,False
359,0.0004527665275288251,73,1.9830963056381434,False
360,0.0005892167139073751,95,2.265185549384669,False
361,0.0008745216490625251,141,2.770240606991112,False
362,0.0037957960938033008,612,1.3461149650461532,False
363,0.0030205109439251756,487,1.2299515686975122,False
364,0.0022328212316490006,360,1.0373198297288684,False
365,0.0031383542867066505,506,0.951419414503301,False
366,0.004267169464929201,688,1.3230072606441587,False
367,0.005873560295476676,947,0.7692650389142626,False
368,0.003808200656201351,614,1.311452570683793,False
369,0.0002977094975532001,48,9.923972335954508,False
370,0.0021894052632558253,353,2.482477896274318,False
371,0.006022415044253276,971,2.299774155435061,False
372,0.0011970402714118252,193,1.0524922652565754,False
373,0.0003845414343395501,62,3.691282654962232,False
374,0.004273371746128226,689,0.9905408110431732,False
375,0.0024374965112168257,393,1.4039941871439228,False
376,6.202281199025002e-05,10,4.328111958503723,False
377,0.0002977094975532001,48,1.3196016276876132,False
378,0.0037957960938033008,612,0.9558755494410696,False
379,0.00028530493515515004,46,4.904536542685135,False
380,0.0026607786343817255,429,1.5389842325712972,False
381,0.0021956075444548506,354,2.057386935767481,False
382,0.0026111603847895257,421,0.8602352221618073,False
383,0.0023320577308334005,376,0.8820521768103254,False
384,0.0023940805428236504,386,1.0023120314346077,False
385,0.00027290037275710005,44,1.163003612648357,False
386,0.008987105457387227,1449,0.9011346405337316,False
387,0.0014079178321786752,227,1.4997226792810248,False
388,0.0003101140599512501,50,1.0626692128181459,False
389,0.013626411794257928,2197,0.6203492659029225,False
390,0.005203713925981976,839,1.232941455721713,False
391,0.0035539071270413256,573,1.001639762265936,False
392,0.004360203682914576,703,2.6543429794894853,False
393,0.0006698463694947001,108,1.3018604461793546,False
394,1.2404562398050002e-05,2,3.4622979164123535,False
395,0.002970892694332976,479,1.3165252875684448,False
396,0.0021025733264694755,339,2.026679731048314,False
397,3.101140599512501e-05,5,1.1434650421142578,False
398,0.0025801489787944006,416,1.2311181242649372,False
399,0.0009179376174557002,148,1.137308293097728,False
400,0.0035290980022452258,569,1.1143373512844628,False
401,0.0014823452065669753,239,3.8755624628466046,False
402,0.008093976964727627,1305,4.33009162323685,False
403,0.0008124988370722751,131,1.8701979686285704,False
404,0.0016125931117465003,260,1.3331320721369524,False
405,0.00032251862234930007,52,1.4502442249884973,False
406,0.0022948440436392505,370,1.2660443744143923,False
407,0.003163163411502751,510,2.235969361604429,False
408,0.009762390607265352,1574,0.8381043080302024,False
409,0.01898518275021553,3061,1.0081717501431267,False
410,0.0019351117340958004,312,1.0085498767021375,False
411,0.14322307744788534,23092,1.0426102332137144,False
412,0.0016994250485328503,274,1.59653428697238,False
413,0.0002480912479610001,40,1.5272736430168152,False
414,4.961824959220001e-05,8,2.4426649510860443,False
